# Entanglement Entropy Data
# boundary_length=16
# coupling_time=1.0
# squeezing=0.2
# central_charge_fit=6.460209194400714
# central_charge_stderr=0.32337963165806605
# offset_fit=5.361043427246289
# offset_stderr=0.07969747355610252
region_size,entanglement_entropy
0,0
1,1.9227102353586774
2,3.117303008171035
3,4.106939023798117
4,4.894761182016177
5,4.549918873346622
6,5.301431823348757
7,5.308211618022199
8,5.594221987839266
9,5.308211618022263
10,5.301431823348947
11,4.5499188733467575
12,4.894761182016693
13,4.106939023798316
14,3.1173030081715773
15,1.9227102353592156
16,5.723061318532308e-13
